Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range
2023;119;SPORTAGE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;34
2020;119;NIRO;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;239
2016;119;SOUL;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;93
2017;119;SOUL EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;93
2023;119;NIRO;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;119;NIRO;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26
2023;119;EV6;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;119;NIRO;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;119;EV6;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;119;NIRO;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26
2023;119;SORENTO;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32
2018;119;NIRO;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26
2018;119;OPTIMA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;29
2017;119;OPTIMA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;29
2018;119;SOUL EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;111
2021;119;NIRO;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2020;119;NIRO;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26
2015;119;SOUL;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;93
2020;119;OPTIMA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;28
2019;119;SOUL EV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2019;119;OPTIMA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;29
2013;120;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38
2020;120;BOLT EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;259
2022;120;BOLT EV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2017;120;BOLT EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238
2018;120;BOLT EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238
2017;120;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;53
2014;120;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38
2019;120;BOLT EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238
2015;120;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38
2023;120;BOLT EV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2011;120;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;35
2023;120;BOLT EUV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;120;BOLT EV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2014;120;SPARK;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;82
2012;120;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;35
2018;120;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;53
2016;120;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;53
2015;120;SPARK;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;82
2019;120;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;53
2016;120;SPARK;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;82
1997;120;S-10 PICKUP;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;39
2019;121;E-GOLF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;125
2023;121;ID.4;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;121;ID.4;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2016;121;E-GOLF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;83
2021;121;ID.4;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2017;121;E-GOLF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;125
2015;121;E-GOLF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;83
2018;121;E-GOLF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;125
2016;122;500;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84
2014;122;500;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;87
2017;122;500;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84
2015;122;500;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;87
2013;122;500;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;87
2018;122;500;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84
2019;122;500;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84
2021;123;HARDTOP;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;110
2019;123;COUNTRYMAN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;12
2023;123;COUNTRYMAN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2022;123;HARDTOP;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;123;COUNTRYMAN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2023;123;HARDTOP;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2018;123;COUNTRYMAN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;12
2024;123;HARDTOP;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;123;COUNTRYMAN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2020;123;COUNTRYMAN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2018;124;EQ FORTWO;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;58
2016;124;FORTWO;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;68
2013;124;FORTWO ELECTRIC DRIVE;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;68
2017;124;FORTWO;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;58
2014;124;FORTWO ELECTRIC DRIVE;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;58
2015;124;FORTWO ELECTRIC DRIVE;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;68
2019;124;EQ FORTWO;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;58
2014;124;FORTWO ELECTRIC DRIVE;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;68
2017;124;FORTWO;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;57
2023;125;R1S;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;125;R1T;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;125;R1T;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;125;R1S;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;125;EDV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;125;EDV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;126;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2023;126;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;35
2016;126;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;13
2018;126;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2021;126;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2020;126;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2022;126;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;35
2019;126;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2022;126;XC40;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;126;S60;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;41
2023;126;XC40;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2020;126;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2019;126;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2017;126;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2023;126;C40;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;126;XC40;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;126;S60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2022;126;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2022;126;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;35
2023;126;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32
2022;126;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2021;126;V60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2020;126;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2024;126;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;35
2018;126;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2023;126;S60;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;41
2020;126;V60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2022;126;C40;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2019;126;S60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2018;126;S90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2020;126;S60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2024;126;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32
2022;126;S60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2019;126;S90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2022;126;V60;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;41
2020;126;S90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2023;126;V60;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;41
2024;126;V60;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;41
2022;126;V60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2023;126;S90;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38
2018;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2021;127;TAYCAN;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;127;TAYCAN;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;127;TAYCAN;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;203
2017;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2023;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2021;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16
2019;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;13
2022;127;TAYCAN;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2014;127;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;15
2016;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2020;127;TAYCAN;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;203
2023;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2015;127;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;15
2020;127;TAYCAN;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;192
2022;127;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2018;127;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16
2020;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2021;127;TAYCAN;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;192
2018;127;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2022;127;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2016;127;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;15
2015;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2022;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16
2020;127;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2019;127;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2022;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;15
2021;127;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2015;127;918;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;12
2023;127;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2022;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2020;127;CAYENNE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;12
2018;128;CLARITY;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;47
2021;128;CLARITY;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;47
2019;128;CLARITY;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;47
2020;128;CLARITY;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;47
2014;128;ACCORD;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;13
2021;128;CLARITY;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;48
2023;129;OUTLANDER;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38
2018;129;OUTLANDER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2019;129;OUTLANDER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2020;129;OUTLANDER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2012;129;I-MIEV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;62
2014;129;I-MIEV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;62
2016;129;I-MIEV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;62
2022;129;OUTLANDER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;24
2021;129;OUTLANDER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;24
2017;129;I-MIEV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;59
2023;130;SOLTERRA;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2019;130;CROSSTREK;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2021;131;PS2;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;233
2023;131;PS2;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;131;PS2;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2024;131;PS2;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;132;EQB-CLASS;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;132;EQS-CLASS SEDAN;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2019;132;GLC-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;10
2023;132;EQS-CLASS SUV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2016;132;B-CLASS;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;87
2018;132;GLE-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;8
2018;132;C-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;8
2023;132;EQE-CLASS SUV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2014;132;B-CLASS;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;87
2017;132;B-CLASS;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;87
2020;132;GLC-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2023;132;EQS-CLASS SEDAN;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;132;EQB-CLASS;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2015;132;B-CLASS;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;87
2017;132;GLE-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;10
2023;132;EQE-CLASS SEDAN;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2015;132;S-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2018;132;GLC-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;9
2017;132;S-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;12
2017;132;C-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;8
2016;132;GLE-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;10
2016;132;C-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;11
2016;132;S-CLASS;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2024;133;LYRIQ;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2014;133;ELR;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;37
2016;133;ELR;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;40
2018;133;CT6;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;31
2023;133;LYRIQ;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2016;133;ELR;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;36
2017;133;CT6;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;31
2019;134;I-PACE;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;234
2020;134;I-PACE;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;234
2022;134;I-PACE;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;134;I-PACE;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2024;134;I-PACE;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;134;I-PACE;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;135;AVIATOR;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2022;135;AVIATOR;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2020;135;AVIATOR;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2023;135;AVIATOR;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2021;135;CORSAIR;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;28
2022;135;CORSAIR;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;28
2023;135;CORSAIR;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;28
2023;136;G80;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;136;GV60;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;136;GV70;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;137;AIR;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;137;AIR;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;138;NX;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;37
2023;138;RZ 450E;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2024;138;NX;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;37
2023;138;NX;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;37
2012;139;KARMA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;33
2024;140;CX-90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26
2020;141;RANGE ROVER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2020;141;RANGE ROVER SPORT;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2023;141;RANGE ROVER SPORT;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2021;141;RANGE ROVER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2021;141;RANGE ROVER SPORT;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2023;141;RANGE ROVER;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;51
2011;142;CITY;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;100
2012;143;TRANSIT CONNECT ELECTRIC;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;56
2011;143;TRANSIT CONNECT ELECTRIC;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;56
2024;144;TONALE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;33
2010;145;WHEEGO;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;100
2022;146;FLYING SPUR;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2021;146;BENTAYGA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
